Station,Name,Latitude,Longitude,Trips Started,Trips Ended,Total Trips
650,Drolet / Gounod,45.540951,-73.626375,5225.0,4892,10596.0
651,de Gaspé / Jarry,45.54078,-73.630401,5098.0,5017,10595.0
652,Guizot / St-Denis,45.543424,-73.632462,5146.0,4681,10308.0
653,de Gaspé / de Liège,45.542485,-73.636342,4266.0,4327,9075.0
654,du Rosaire / St-Hubert,45.544819,-73.62151,6599.0,6036,13118.0
656,de Chateaubriand / Jarry,45.545955,-73.626992,4413.0,4314,9211.0
657,de la Roche / Everett,45.544867,-73.614841,5281.0,5230,10996.0
658,Marquette / Villeray,45.550684,-73.615293,6299.0,6187,12972.0
659,St-Dominique / Jean-Talon,45.535248,-73.617564,7251.0,6680,14418.0
660,Louis-Hémon / Villeray,45.554961,-73.610737,2517.0,2425,5430.0
661,Métro St-Michel (Shaughnessy / St-Michel),45.559199,-73.599658,5067.0,4942,10498.0
663,d'Outremont / Ogilvy,45.52687,-73.626723,3606.0,3589,7685.0
664,de Normanville / Villeray,45.54717,-73.618041,6794.0,6289,13574.0
665,Lajeunesse / Villeray,45.542119,-73.622547,7876.0,7713,16081.0
666,Villeray / St-Michel,45.561059,-73.603967,2420.0,2433,5346.0
668,Marquette / Jean-Talon,45.547408,-73.607669,3135.0,2874,6503.0
669,de Bordeaux / Jean-Talon,45.549755,-73.605566,5206.0,4968,10669.0
671,Ball / Querbes,45.531177,-73.632136,5323.0,5355,11174.0
674,Drolet / Jarry,45.541955,-73.629942,4698.0,4474,9669.0
675,Clark / de Liège,45.539984,-73.638135,3983.0,4093,8574.0
676,Boyer / Rosemont,45.534136,-73.595478,13206.0,10523,24228.0
677,Bernard / St-Urbain,45.526267,-73.603191,13937.0,13060,27497.0
678,CIUSSS (du Trianon / Pierre-de-Coubertin),45.587531,-73.531907,1311.0,1479,3291.0
680,Hôpital Santa Cabrini (St-Zotique / Jeanne-Jugan),45.579325,-73.570504,1007.0,1029,2538.0
681,St-Denis / René-Lévesque,45.512871,-73.558466,14043.0,18241,32787.0
682,du Président-Kennedy / Jeanne-Mance,45.508205,-73.568814,9047.0,11394,20945.0
684,Jeanne-Mance / René-Lévesque,45.506371,-73.564201,10247.0,12376,23128.0
686,Desjardins / Ontario,45.551192,-73.540873,4277.0,5730,10513.0
687,Metcalfe / du Square-Dorchester,45.500208,-73.571138,6140.0,5828,12475.0
688,Métro Viau (Pierre-de-Coubertin / Viau),45.561783,-73.546611,9329.0,9847,19684.0
689,de Mentana / Gilford,45.528724,-73.583859,9138.0,8394,18041.0
690,St-Maurice / Robert-Bourassa,45.498578,-73.560242,3876.0,4726,9112.0
691,Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),45.596797,-73.535179,3118.0,2742,6371.0
692,Paré / Mountain Sights,45.4981,-73.652942,3032.0,3280,6824.0
693,Métro Radisson (Sherbrooke / des Groseilliers),45.589175,-73.539656,2922.0,2886,6321.0
694,Graham / Brookfield,45.520222,-73.629856,2511.0,2664,5689.0
696,Hutchison / Beaubien,45.526058,-73.612969,4013.0,4018,8546.0
699,St-Jean-Baptiste / René-Lévesque,45.641557,-73.500375,330.0,355,1201.0
701,du Tricentenaire / Prince-Albert,45.649546,-73.491916,281.0,315,1113.0
702,de Maisonneuve / Aylmer (est),45.505386,-73.570432,4995.0,5434,10947.0
703,du Souvenir / Chomedey,45.551886,-73.74444,491.0,482,1492.0
704,Métro Montmorency (de l'Avenir / Jacques-Tétreault),45.558109,-73.719598,898.0,756,2174.0
705,Parc St-Claude (7e avenue / 8e rue),45.562668,-73.692362,471.0,489,1481.0
706,Métro Cartier (des Laurentides / Cartier),45.56003,-73.681336,997.0,1049,2568.0
749,Atateken / du Square Amherst,45.5206338,-73.563906,10887.0,13705,25115.0
750,Métro Sherbrooke (de Rigaud / St-Denis),45.5179989,-73.5681841,17114.0,12769,30407.0
751,Bourget / St-Jacques,45.4808458,-73.5838616,3928.0,4386,8839.0
752,Métro Bonaventure (de la Gauchetière / de la Cathédrale),45.4983122,-73.567256,7417.0,7223,15166.0
753,Mansfield / Ste-Catherine,45.5013987,-73.5717863,3521.0,3470,7518.0
756,Notre-Dame / Jean-d'Estrées,45.4942598,-73.5638181,10327.0,14253,25108.0
757,de Gaspé / Beaubien,45.5319579,-73.607001,10074.0,8902,19505.0
758,des Érables / du Mont-Royal,45.5358535,-73.5720545,18885.0,18535,37950.0
760,St-Dominique / de Bellechasse,45.5295036,-73.6048646,11946.0,10548,23025.0
762,St-Dominique / Napoléon,45.5166644,-73.5772204,19446.0,18423,38402.0
763,Métro Jean-Talon (Berri / Jean-Talon),45.5390004,-73.614251,8327.0,7861,16722.0
764,St-Dominique / Laurier,45.5236149,-73.5924574,24326.0,22700,47561.0
765,Faillon / St-Denis,45.5398641,-73.6203128,7257.0,6395,14188.0
767,de Gaspé / Villeray,45.5388872,-73.623907,7363.0,7373,15273.0
769,Grand Trunk / d'Hibernia,45.47968,-73.56385,4488.0,5158,10184.0
770,Rivier / Davidson,45.5461147,-73.5570931,5849.0,4629,11017.0
771,Métro Parc  (Hutchison / Ogilvy),45.5303513,-73.6243924,9579.0,9638,19757.0
772,de la Salle / Hochelaga,45.5541523,-73.5474935,4604.0,4981,10126.0
774,Parc St-Henri (Laporte / Guay),45.4801338,-73.5859081,2942.0,3485,6969.0
775,St-Hubert / St-Joseph,45.5280879,-73.5858625,5172.0,4333,10048.0
776,de la Côte St-Antoine / Argyle,45.486241,-73.5957277,3953.0,3491,7988.0
778,Métro Jolicoeur (de Sève / Drake),45.4560855,-73.5819371,3646.0,3739,7930.0
779,de Bleury / de Maisonneuve,45.5070965,-73.5684416,9343.0,10181,20070.0
780,LaSalle / 80e avenue,45.4157687,-73.6379242,2033.0,2128,4708.0
781,Kirkfield / de Chambois,45.5129332,-73.6338902,2234.0,2550,5332.0
782,Garnier / Everett,45.5476247,-73.6120248,3365.0,3344,7258.0
783,8e avenue / Jarry,45.5616903,-73.610512,296.0,309,1155.0
784,de la Côte St-Paul / St-Ambroise,45.4676657,-73.5939178,7874.0,8999,17424.0
785,des Jockeys / Décarie,45.4940443,-73.6544949,1864.0,2015,4431.0
786,LaSalle / 37e avenue,45.4163102,-73.6129159,1998.0,2100,4651.0
788,Bennett / Pierre-de-Coubertin,45.5581597,-73.5484001,7296.0,7869,15719.0
790,Métro de Castelnau (de Castelnau / St-Laurent),45.5357088,-73.6196235,7199.0,6820,14574.0
834,Graham / Wicksteed,45.5169365,-73.640483,2703.0,3115,6374.0
836,de la Pépinière / Pierre-de-Coubertin,45.5762592,-73.5383123,117.0,142,817.0
837,de Maisonneuve / Aylmer (ouest),45.505063,-73.5706812,4580.0,6255,11394.0
838,Drolet / Marie-Anne,45.5224026,-73.5811767,14402.0,13804,28766.0
840,des Bassins / Richmond,45.487531,-73.56507,500.0,576,1637.0
841,de Laprairie / Centre,45.4813667,-73.5643189,3583.0,4011,8156.0
842,Graham / Kindersley,45.51405,-73.6472556,2610.0,3075,6248.0
843,Glengarry / Graham,45.50919,-73.6603206,1766.0,1923,4253.0
845,Garnier / St-Grégoire,45.5358344,-73.5870212,8045.0,6842,15452.0
846,Chabot / Villeray,45.5522894,-73.6130065,3767.0,3651,7984.0
851,18e avenue / St-Joseph Lachine,45.4329767,-73.6808154,42.0,43,652.0
852,Eleanor / Ottawa,45.4924627,-73.5607839,11515.0,13577,25660.0
855,Clark / Ontario,45.5106246,-73.5669033,10374.0,11639,22582.0
856,Smith / Peel,-1.0,-1.0,9243.0,9507,19320.0
858,Henri-Julien / de Bellechasse,45.5295036,-73.6048646,5979.0,5378,11928.0
859,Campus MIL (Outremont / Thérèse-Lavoie Roux),45.5231722,-73.6180971,6606.0,6490,13668.0
860,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,14319.0,16625,31517.0
862,St-Charles / St-Sylvestre,45.5363438,-73.5127777,620.0,697,1891.0
864,Métro Villa-Maria (de Monkland / Décarie),45.4789684,-73.6195993,4588.0,2323,7486.0
865,Jeanne-Mance / Laurier,45.5201249,-73.5952138,19248.0,18040,37864.0
866,des Ormeaux / Notre-Dame,45.5992655,-73.5122607,2478.0,2924,5979.0
868,10e avenue / Holt,45.5519116,-73.5792112,5748.0,5387,11713.0
869,Christophe-Colomb / St-Joseph,45.5303649,-73.5843927,6987.0,6386,13952.0
873,Clark / St-Zotique,45.531611,-73.6133498,3967.0,3684,8231.0
874,St-Gérard / Villeray,45.5426454,-73.6224445,191.0,202,974.0
881,Jeanne-Mance / Bernard,45.5244504,-73.6051744,1417.0,1311,3312.0
886,Fullum / Holt,45.5439195,-73.5842489,6947.0,6173,13706.0
887,3e avenue / Holt,45.5480035,-73.5813899,4924.0,4216,9727.0
888,Mozart / Waverly,45.5315651,-73.6169464,3047.0,2886,6521.0
890,Boucher / St-Denis,45.5278492,-73.5918613,10169.0,8694,19452.0
892,des Érables / Dandurand,45.5413694,-73.583974,1989.0,1939,4519.0
893,René-Lévesque / 9e avenue,45.6407393,-73.5008258,7.0,8,607.0
895,Bloomfield / Jean-Talon,45.5274603,-73.6241752,4659.0,4599,9851.0
898,Louis-Hémon / Jean-Talon,45.5517743,-73.6034784,4781.0,4601,9977.0
899,de Grosbois / Ducheneau,45.6112307,-73.5312416,303.0,307,1206.0
901,Notre-Dame-de-Grâce / Westmount,45.4804701,-73.6112161,2063.0,1733,4393.0
903,Sherbrooke / Vignal,45.4898298,-73.5896777,2511.0,1877,4986.0
904,Marmier,45.5310066,-73.5987988,7.0,3,609.0
906,Parc Ludger-Duvernay (St-André / St-Hubert),45.5314746,-73.5924205,6470.0,5742,12812.0
907,Métro Pie-IX (Pierre-de-Coubertin / De La Salle),45.5552411,-73.5508221,1732.0,1684,4017.0
908,Lajeunesse / de Liège,45.5455805,-73.6349,4659.0,4817,10078.0
909,de Chateaubriand / Leman,45.5472345,-73.6310256,4561.0,4543,9707.0
910,Fullum / Marie-Anne,45.5365054,-73.5680392,10344.0,9961,20909.0
